#####################################################################
# Alchemist log file - simulation started at: 2024-05-30T14:17+0000 #
#####################################################################
#
# seed = 57.0, leaderInitialResource = 1000, resourceUpperBound = 10, resourceLowerBound = 10, spawningRatio = 500, maxChildren = 5, gaussianShape = 5, initialNodes = 1, resourceRadius = 6.0
#
# The columns have the following meaning: 
# simulation_time nodes limited_size full_size 
0.0 1.0 88.0 837.0
0.3403914804523247 2.0 161.0 2990.0
3.3403914804523245 2.0 160.0 3104.0
6.3403914804523245 2.0 160.0 3104.0
9.340391480452325 2.0 159.0 3103.0
12.340391480452325 2.0 160.0 3104.0
15.340391480452325 2.0 160.0 3104.0
18.340391480452325 2.0 160.0 3104.0
21.340391480452325 2.0 160.0 3104.0
24.340391480452325 3.0 201.0 4575.0
27.340391480452325 3.0 201.0 4600.0
30.340391480452325 3.0 201.0 4600.0
33.340391480452325 3.0 201.0 4600.0
36.340391480452325 3.0 201.0 4600.0
39.340391480452325 3.0 201.0 4600.0
42.340391480452325 3.0 201.0 4600.0
45.340391480452325 3.0 201.0 4599.0
48.340391480452325 5.0 286.0 7615.0
51.340391480452325 4.0 243.0 6105.0
54.340391480452325 4.0 243.0 6101.0
57.340391480452325 4.0 243.0 6101.0
60.340391480452325 4.0 243.0 6101.0
63.340391480452325 4.0 243.0 6101.0
66.34039148045233 4.0 242.0 6100.0
69.34039148045233 4.0 242.0 6100.0
72.34039148045233 4.0 242.0 6098.0
75.34039148045233 5.0 284.0 7614.0
78.34039148045233 5.0 284.0 7606.0
81.34039148045233 5.0 284.0 7601.0
84.34039148045233 5.0 284.0 7601.0
87.34039148045233 5.0 284.0 7601.0
90.34039148045233 5.0 284.0 7601.0
93.34039148045233 5.0 284.0 7601.0
96.34039148045233 5.0 284.0 7601.0
99.34039148045233 7.0 370.0 10563.0
102.34039148045233 7.0 370.0 10629.0
105.34039148045233 6.0 326.0 9116.0
108.34039148045233 6.0 326.0 9107.0
111.34039148045233 5.0 284.0 7613.0
114.34039148045233 4.0 242.0 6109.0
117.34039148045233 4.0 242.0 6105.0
120.34039148045233 4.0 242.0 6100.0
123.34039148045233 4.0 242.0 6100.0
126.34039148045233 4.0 242.0 6100.0
129.34039148045233 4.0 242.0 6100.0
132.34039148045233 4.0 242.0 6100.0
135.34039148045233 4.0 242.0 6100.0
138.34039148045233 4.0 242.0 6098.0
141.34039148045233 6.0 326.0 9034.0
144.34039148045233 6.0 326.0 9116.0
147.34039148045233 6.0 326.0 9116.0
150.34039148045233 6.0 326.0 9116.0
153.34039148045233 6.0 326.0 9116.0
156.34039148045233 6.0 326.0 9116.0
159.34039148045233 6.0 326.0 9116.0
162.34039148045233 6.0 326.0 9115.0
165.34039148045233 10.0 493.0 15067.0
168.34039148045233 10.0 493.0 15230.0
171.34039148045233 9.0 452.0 13692.0
174.34039148045233 9.0 452.0 13677.0
177.34039148045233 9.0 452.0 13674.0
180.34039148045233 9.0 452.0 13674.0
183.34039148045233 9.0 452.0 13674.0
186.34039148045233 9.0 452.0 13674.0
189.34039148045233 9.0 452.0 13674.0
192.34039148045233 10.0 497.0 15181.0
195.34039148045233 12.0 577.0 18197.0
198.34039148045233 12.0 577.0 18237.0
201.34039148045233 10.0 493.0 15217.0
204.34039148045233 10.0 493.0 15208.0
207.34039148045233 10.0 493.0 15190.0
210.34039148045233 10.0 493.0 15190.0
213.34039148045233 10.0 493.0 15190.0
216.34039148045233 10.0 493.0 15190.0
219.34039148045233 10.0 493.0 15190.0
222.34039148045233 10.0 493.0 15190.0
225.34039148045233 11.0 537.0 16693.0
228.34039148045233 14.0 659.0 21241.0
231.34039148045233 14.0 659.0 21241.0
234.34039148045233 12.0 575.0 18229.0
237.34039148045233 11.0 534.0 16718.0
240.34039148045233 11.0 534.0 16707.0
243.34039148045233 11.0 534.0 16703.0
246.34039148045233 11.0 534.0 16693.0
249.34039148045233 11.0 534.0 16693.0
252.34039148045233 11.0 534.0 16693.0
255.34039148045233 11.0 534.0 16693.0
258.34039148045235 11.0 534.0 16693.0
261.34039148045235 11.0 534.0 16693.0
264.34039148045235 14.0 663.0 21125.0
267.34039148045235 16.0 745.0 23938.0
270.34039148045235 16.0 745.0 24293.0
273.34039148045235 16.0 745.0 24292.0
276.3474093516244 13.0 618.0 19750.0
279.3474093516244 12.0 576.0 18239.0
282.3474093516244 12.0 576.0 18222.0
285.3474093516244 12.0 576.0 18227.0
288.3474093516244 12.0 576.0 18239.0
291.3474093516244 12.0 576.0 18235.0
294.3474093516244 12.0 576.0 18231.0
297.3474093516244 12.0 576.0 18231.0
300.3474093516244 12.0 576.0 18231.0
303.3474093516244 12.0 576.0 18231.0
306.3474093516244 12.0 576.0 18231.0
309.3474093516244 13.0 619.0 19703.0
312.3474093516244 16.0 744.0 24236.0
315.3474093516244 16.0 744.0 24332.0
318.3474093516244 16.0 744.0 24329.0
321.3474093516244 13.0 619.0 19731.0
324.3474093516244 13.0 619.0 19734.0
327.3474093516244 12.0 578.0 18246.0
330.3474093516244 12.0 578.0 18229.0
333.3474093516244 12.0 578.0 18238.0
336.3474093516244 12.0 578.0 18230.0
339.3474093516244 12.0 578.0 18225.0
342.3474093516244 12.0 578.0 18225.0
345.3474093516244 12.0 578.0 18225.0
348.3474093516244 12.0 578.0 18225.0
351.3474093516244 12.0 578.0 18225.0
354.3474093516244 12.0 578.0 18225.0
357.3474093516244 13.0 623.0 19743.0
360.3474093516244 16.0 744.0 24066.0
363.3474093516244 16.0 744.0 24333.0
366.3474093516244 15.0 703.0 22803.0
369.3474093516244 15.0 703.0 22798.0
372.3474093516244 13.0 620.0 19764.0
375.3474093516244 13.0 620.0 19766.0
378.3474093516244 13.0 620.0 19758.0
381.3474093516244 13.0 620.0 19739.0
384.3474093516244 13.0 620.0 19739.0
387.3474093516244 13.0 620.0 19739.0
390.3474093516244 13.0 620.0 19739.0
393.3474093516244 13.0 620.0 19739.0
396.3474093516244 13.0 620.0 19739.0
