#####################################################################
# Alchemist log file - simulation started at: 2024-05-30T13:51+0000 #
#####################################################################
#
# seed = 25.0, leaderInitialResource = 1000, resourceUpperBound = 10, resourceLowerBound = 10, spawningRatio = 500, maxChildren = 5, gaussianShape = 5, initialNodes = 1, resourceRadius = 6.0
#
# The columns have the following meaning: 
# simulation_time nodes limited_size full_size 
0.0 1.0 88.0 837.0
0.2459822523016002 2.0 161.0 2991.0
3.2459822523016 2.0 158.0 3106.0
6.2459822523016 2.0 158.0 3104.0
9.2459822523016 2.0 158.0 3104.0
12.2459822523016 2.0 159.0 3105.0
15.2459822523016 2.0 159.0 3105.0
18.2459822523016 2.0 159.0 3105.0
21.2459822523016 2.0 159.0 3105.0
24.2459822523016 3.0 202.0 4598.0
27.2459822523016 3.0 202.0 4607.0
30.2459822523016 3.0 202.0 4606.0
33.2459822523016 3.0 202.0 4606.0
36.2459822523016 3.0 202.0 4606.0
39.2459822523016 3.0 202.0 4606.0
42.2459822523016 3.0 202.0 4606.0
45.2459822523016 3.0 202.0 4606.0
48.2459822523016 5.0 286.0 7550.0
51.2459822523016 5.0 286.0 7607.0
54.2459822523016 5.0 286.0 7603.0
57.2459822523016 5.0 286.0 7603.0
60.2459822523016 5.0 286.0 7603.0
63.2459822523016 5.0 286.0 7603.0
66.2459822523016 5.0 286.0 7603.0
69.2459822523016 5.0 286.0 7603.0
72.2459822523016 6.0 330.0 9114.0
75.2459822523016 7.0 369.0 10614.0
78.2459822523016 7.0 369.0 10611.0
81.2459822523016 7.0 369.0 10607.0
84.2459822523016 7.0 369.0 10607.0
87.2459822523016 7.0 369.0 10607.0
90.2459822523016 7.0 369.0 10607.0
93.2459822523016 7.0 369.0 10607.0
96.2459822523016 7.0 369.0 10606.0
99.2459822523016 9.0 454.0 13557.0
102.2459822523016 9.0 455.0 13573.0
105.2459822523016 7.0 371.0 10639.0
108.2459822523016 7.0 371.0 10617.0
111.2459822523016 7.0 371.0 10615.0
114.2459822523016 7.0 371.0 10615.0
117.2459822523016 7.0 371.0 10615.0
120.2459822523016 7.0 371.0 10615.0
123.2459822523016 7.0 371.0 10615.0
126.2459822523016 7.0 371.0 10615.0
129.2459822523016 8.0 416.0 12135.0
132.2459822523016 9.0 455.0 13637.0
135.2459822523016 9.0 455.0 13635.0
138.2459822523016 8.0 413.0 12121.0
141.2459822523016 8.0 413.0 12121.0
144.2459822523016 8.0 413.0 12120.0
147.2459822523016 8.0 413.0 12120.0
150.2459822523016 8.0 413.0 12120.0
153.2459822523016 8.0 413.0 12120.0
156.2459822523016 8.0 413.0 12120.0
159.2459822523016 9.0 454.0 13587.0
162.2459822523016 10.0 499.0 15162.0
165.2459822523016 10.0 499.0 15158.0
168.2459822523016 9.0 454.0 13637.0
171.2459822523016 9.0 454.0 13633.0
174.2459822523016 9.0 454.0 13626.0
177.2459822523016 9.0 454.0 13626.0
180.2459822523016 9.0 454.0 13626.0
183.2459822523016 9.0 454.0 13626.0
186.2459822523016 9.0 454.0 13626.0
189.2459822523016 9.0 454.0 13626.0
192.2459822523016 11.0 539.0 16573.0
195.2459822523016 11.0 537.0 16668.0
198.2459822523016 10.0 495.0 15160.0
201.2459822523016 10.0 495.0 15146.0
204.2459822523016 9.0 454.0 13647.0
207.2459822523016 8.0 412.0 12136.0
210.2459822523016 8.0 412.0 12131.0
213.2459822523016 8.0 412.0 12131.0
216.2459822523016 8.0 412.0 12126.0
219.2459822523016 8.0 412.0 12123.0
222.2459822523016 8.0 412.0 12123.0
225.2459822523016 8.0 412.0 12123.0
228.2459822523016 8.0 412.0 12123.0
231.2459822523016 8.0 412.0 12123.0
234.2459822523016 9.0 456.0 13620.0
237.2459822523016 11.0 536.0 16617.0
240.2459822523016 10.0 494.0 15146.0
243.2459822523016 9.0 453.0 13634.0
246.2459822523016 9.0 453.0 13635.0
249.2459822523016 9.0 453.0 13624.0
252.2459822523016 9.0 453.0 13624.0
