#####################################################################
# Alchemist log file - simulation started at: 2024-06-01T17:42+0000 #
#####################################################################
#
# seed = 5.0, frequency = 0.13049019780144025, artificialSlowDown = 3.0
#
# The columns have the following meaning: 
# time events observations lostUpdates uselessPolling 
0.0 0 0 0 0
0.6003942962212285 1 0 0 0
1000.0231977839757 20194 16 20169 0
#####################################################################
# End of data export. Simulation finished at: 2024-06-01T17:43+0000 #
#####################################################################
