#####################################################################
# Alchemist log file - simulation started at: 2024-06-01T19:00+0000 #
#####################################################################
#
# seed = 5.0, frequency = 4.82410870416537, artificialSlowDown = 1.0
#
# The columns have the following meaning: 
# time events observations lostUpdates uselessPolling 
0.0 0 0 0 0
0.6003942962212285 1 0 0 0
1000.6003942962212 20193 278 19775 0
#####################################################################
# End of data export. Simulation finished at: 2024-06-01T19:01+0000 #
#####################################################################
