#####################################################################
# Alchemist log file - simulation started at: 2024-06-01T10:10+0000 #
#####################################################################
#
# seed = 3.0, frequency = 166.381688607613, artificialSlowDown = 1.0
#
# The columns have the following meaning: 
# time events observations lostUpdates uselessPolling 
0.0 0 0 0 0
0.2747056966576764 1 0 0 0
1000.2747056966577 21967 6582 12093 0
#####################################################################
# End of data export. Simulation finished at: 2024-06-01T10:11+0000 #
#####################################################################
