#####################################################################
# Alchemist log file - simulation started at: 2024-06-01T21:49+0000 #
#####################################################################
#
# seed = 5.0, frequency = 10000.0, artificialSlowDown = 0.0
#
# The columns have the following meaning: 
# time events observations lostUpdates uselessPolling 
0.0 0 0 0 0
0.6003942962212285 1 0 0 0
1000.6003942962212 23989 612 23085 10
#####################################################################
# End of data export. Simulation finished at: 2024-06-01T21:49+0000 #
#####################################################################
