#####################################################################
# Alchemist log file - simulation started at: 2024-05-31T18:00+0000 #
#####################################################################
#
# seed = 0.0, frequency = 0.9115888299750826, artificialSlowDown = 3.0
#
# The columns have the following meaning: 
# time events observations lostUpdates uselessPolling 
0.0 0 0 0 0
0.15071724896777527 1 0 0 0
1000.2534642712621 19353 120 19172 0
#####################################################################
# End of data export. Simulation finished at: 2024-05-31T18:01+0000 #
#####################################################################
