#####################################################################
# Alchemist log file - simulation started at: 2024-05-31T22:12+0000 #
#####################################################################
#
# seed = 1.0, frequency = 0.09221978823334329, artificialSlowDown = 1.0
#
# The columns have the following meaning: 
# time events observations lostUpdates uselessPolling 
0.0 0 0 0 0
0.1129943035738381 1 0 0 0
1000.207129181421 20288 2 20284 0
#####################################################################
# End of data export. Simulation finished at: 2024-05-31T22:12+0000 #
#####################################################################
